Time,ARIMA,SARIMA,ETS,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:39:20,1394.9392513562927,1378.86984824036,1194.2714119778725,1413.6123,1427.1624,1377.9656,1244.6625,1708.1761,1384.4155171732452,981.0
2023-09-08 02:39:25,1219.355187395524,1189.0605731550395,680.6196997741864,1438.7982,1406.2715,1504.7778,1166.7898,1363.0002,1227.1325702452616,1350.0
2023-09-08 02:39:30,1091.2404414771063,1086.930381648404,134.04668641905843,1493.4492,1549.3011,1550.8635,1284.807,1514.8164,1201.516143859753,686.0
2023-09-08 02:39:35,997.76163849526,1035.00848098507,-295.111962434528,1625.0665,1881.1975,1730.2698,1570.0386,1597.2341,1246.633014166884,1500.0
2023-09-08 02:39:40,929.5549184625528,958.1187654009008,-624.8876773048645,1721.5109,1766.3683,1684.538,1682.4996,1649.5099,1264.3057215877975,1960.0
2023-09-08 02:39:45,1250.8204573620242,1199.1897659469555,1279.2202513876398,1199.2418,1349.9303,1178.3365,1192.3589,1381.6637,1259.4625511411457,771.0
2023-09-08 02:39:50,1240.9830264757072,1076.3662674246186,1229.838587962204,1057.3158,1281.9926,1290.023,1317.2754,1609.2454,1341.870312671868,1190.0
2023-09-08 02:39:55,1233.80667124656,994.5155783371308,1143.2170271927778,1136.9128,1621.4713,1299.9037,1385.7039,1756.137,1557.5777147366102,1220.0
2023-09-08 02:40:00,1228.5715570211028,1033.3410859055675,1115.2005703971554,1261.4325,1999.7369,1359.3153,1480.549,1435.8,1787.1622209721754,2000.0
2023-09-08 02:40:05,1224.752568122355,1182.6812757789312,1213.5414452698465,1471.3445,2032.7491,1469.5642,1668.0566,1456.208,1884.938366615247,2880.0
2023-09-08 02:40:10,1892.6740689936807,1901.316966342508,2029.3212060654223,2014.0087,1740.8002,1737.6699,1773.2935,2123.2654,1890.5593093330924,1370.0
2023-09-08 02:40:15,1898.317225684259,1894.175425013924,2082.44669875463,1860.9702,1701.782,1688.214,1691.3004,2058.5718,1996.0249963931888,1260.0
2023-09-08 02:40:20,1902.4338806273447,1825.942049579836,1992.270402287608,1685.426,1688.4193,1659.526,1533.3727,2215.824,2270.54201150909,2350.0
2023-09-08 02:40:25,1905.43696008263,1726.3268218143448,1828.8803870271029,1607.4662,1555.8992,1647.3707,1513.0065,2209.8052,2514.1288595730057,2960.0
2023-09-08 02:40:30,1907.627691717766,1648.5855100235106,1632.6144929263344,1564.0824,1648.5371,1730.207,1556.9485,1796.8085,2449.6293130004738,2670.0
2023-09-08 02:40:35,2211.3560208073777,2230.700094704915,2506.388312562886,1978.1841,2046.5779,2096.6091,1998.398,2361.5461,2012.7846034809943,2030.0
