Time,cpu_usage,memory_usage,bandwidth_inbound,bandwidth_outbound,tps,response_time,status
8/9/2023 06:07:40,0.057619,0.535316,3817.72599,3353.173535,1.402965983,659.4821371,0
8/9/2023 06:07:45,0.063051,0.530769,3823.729369,3374.547999,1.608162533,766.7529083,0
8/9/2023 06:07:50,0.077834,0.532154,4300.171025,3803.650115,1.901467275,892.6365293,0
8/9/2023 06:07:55,0.096327,0.536291,4872.920482,4312.033925,2.127043954,1030.101335,0
8/9/2023 06:08:00,0.114387,0.539510,5082.589448,4505.962239,2.22896899,1226.206911,0
8/9/2023 06:08:05,0.129894,0.540195,4898.731219,4363.067011,2.283002476,1477.062305,0
8/9/2023 06:08:10,0.139644,0.539411,4777.021288,4271.735404,2.368684145,1642.99354,0
8/9/2023 06:08:15,0.139007,0.539253,5190.247051,4625.110567,2.4414457,1529.222534,0
8/9/2023 06:08:20,0.127316,0.540882,6176.253935,5442.869986,2.407486675,1107.004069,0
8/9/2023 06:08:25,0.111667,0.544333,7351.975923,6399.707729,2.294747057,624.8996855,0
8/9/2023 06:08:30,0.103308,0.549377,8300.469563,7164.626824,2.241920818,449.6172675,0
8/9/2023 06:08:35,0.110288,0.555333,8858.582945,7635.219688,2.329241983,789.5270998,0
8/9/2023 06:08:40,0.131812,0.559895,9012.127319,7821.959463,2.506880704,1553.855155,0
8/9/2023 06:08:45,0.158214,0.559781,8721.190097,7676.648173,2.689401635,2431.476153,0
8/9/2023 06:08:50,0.177857,0.554083,8103.204071,7246.646374,2.843961185,3077.919303,0
8/9/2023 06:08:55,0.184222,0.546079,7596.119967,6843.401814,2.956591069,3268.210303,1
8/9/2023 06:09:00,0.176939,0.540433,7580.288758,6769.206032,2.975941643,2983.64592,0
8/9/2023 06:09:05,0.160410,0.539293,7927.867718,6953.381068,2.840842655,2403.170705,0
8/9/2023 06:09:10,0.142840,0.541451,8138.587355,7033.242183,2.548365013,1759.450039,0
8/9/2023 06:09:15,0.133115,0.543944,7856.604014,6748.40268,2.19762522,1206.846374,0
8/9/2023 06:09:20,0.135752,0.543960,7160.723194,6173.449258,1.962168138,845.3015931,0
8/9/2023 06:09:25,0.147446,0.540405,6380.379339,5569.094425,1.965592947,777.2195698,0
8/9/2023 06:09:30,0.159536,0.535041,5777.985592,5124.758728,2.190743241,1071.69774,0
8/9/2023 06:09:35,0.166347,0.532045,5537.269674,4963.025488,2.546634892,1680.660718,0
8/9/2023 06:09:40,0.169245,0.534533,5838.815349,5217.368732,2.945457932,2366.317931,0
8/9/2023 06:09:45,0.169846,0.540644,6589.067458,5812.922253,3.246746645,2739.240007,1
8/9/2023 06:09:50,0.163755,0.544744,7182.103687,6263.863278,3.241678661,2509.247995,1
8/9/2023 06:09:55,0.147309,0.543394,6940.041492,6028.332849,2.836316358,1775.398042,0
8/9/2023 06:10:00,0.128212,0.538678,5866.03559,5126.341861,2.231023541,1007.229148,0
8/9/2023 06:10:05,0.121751,0.535095,4719.095793,4196.088283,1.809872035,684.6301431,0
8/9/2023 06:10:10,0.133819,0.534709,4230.538693,3835.984441,1.806674853,956.5398181,0
8/9/2023 06:10:15,0.152557,0.536090,4395.365373,4032.305409,2.119250854,1625.132178,0
8/9/2023 06:10:20,0.161294,0.536849,4703.608701,4376.834036,2.471803608,2384.566145,0
8/9/2023 06:10:25,0.156911,0.536080,4914.143914,4670.827998,2.68804894,3013.207273,1
8/9/2023 06:10:30,0.150264,0.534524,5259.654721,5037.555063,2.764050644,3378.539144,1
8/9/2023 06:10:35,0.150733,0.533330,5886.270039,5516.414996,2.762788629,3397.206394,0
